Date,EQ_Australia,EQ_US,EQ_UK,EQ_Japan,EQ_China,EQ_India,EQ_Brazil,FI_Australia_10,FI_US_10,FI_UK_10,FI_Japan_10,FI_China_5,FI_India_5,FX_Japan,FX_UK,FX_Australia,FX_Brazil,FX_India
1/10/2021,6.350853148,13.75277775,8.032026018,5.581721191,7.028903446,3.978308114,1.758624334,2.77643341,2.534219724,3.18689037,2.848282177,1.22162143,1.231592977,65.2674,90.3634,180.9009,175.4642,196.7232
30/9/2021,6.480415447,13.59651671,8.099871334,5.704882119,7.028903446,3.998464816,1.729170041,2.778488216,2.519852969,3.181044646,2.843023194,1.221602492,1.231807934,65.0104,89.6972,179.4837,172.8856,196.394
29/9/2021,6.360685369,13.75951141,8.11809327,5.727665511,7.007621869,4.020220258,1.731604903,2.776880943,2.516954999,3.189750048,2.844090096,1.22212007,1.23240784,64.7148,89.4573,178.6635,173.7361,196.6016
28/9/2021,6.429976592,13.73667054,8.026660085,5.809246281,7.023787452,4.029253829,1.71673415,2.783776346,2.517688533,3.188769042,2.841287789,1.221186218,1.231072363,65.0233,90.1572,179.958,173.2247,196.8327
27/9/2021,6.525968536,14.02155398,8.067007191,5.825877809,7.011001035,4.054035871,1.771137538,2.797956163,2.529713191,3.200408679,2.846763597,1.220493164,1.230465095,65.2699,91.3303,181.3025,174.4131,197.3654
24/9/2021,6.489221716,14.06036251,8.053424128,5.83424997,6.854735864,4.054249332,1.766924533,2.796847927,2.534882551,3.211222982,2.848135668,1.22072898,1.232275161,65.4178,91.1571,180.6313,176.217,197.7431
23/9/2021,6.513138171,14.03971921,8.084143341,5.702508575,6.802674259,4.048009887,1.77957471,2.835539008,2.546729199,3.214570711,2.852251086,1.220861919,1.235272283,65.7568,91.5905,181.7516,177.1925,197.8534
22/9/2021,6.447945012,13.87093219,8.089209886,5.70247481,6.796878767,3.985828772,1.752220062,2.832698115,2.565209526,3.249701182,2.852225485,1.221379533,1.234537553,66.1056,90.9777,180.6825,177.6203,197.2181
21/9/2021,6.427423189,13.74020252,7.972306879,5.761040083,6.901388343,3.989915209,1.720959884,2.829796511,2.566747344,3.246536503,2.850822849,1.219226417,1.234896726,66.3182,91.038,180.0863,178.1263,197.8752
20/9/2021,6.404452594,13.75081343,7.884317836,5.860402028,6.902233777,3.952991108,1.699462177,2.821034083,2.570301012,3.25090872,2.849412196,1.220070347,1.236214241,66.222,90.9182,180.112,176.3413,197.5
17/9/2021,6.541893005,13.98827636,7.952553844,5.860367258,6.903084786,3.996360476,1.740454427,2.82144295,2.55570738,3.234139379,2.849386578,1.22012543,1.233441747,65.8795,91.6047,181.0085,177.489,198.1649
16/9/2021,6.591524049,14.11688957,8.025483034,5.83240081,6.824008346,4.007024672,1.777681146,2.833581856,2.564733454,3.242725394,2.850781285,1.219504796,1.233783526,66.0242,91.8448,181.3573,178.5591,198.0505
15/9/2021,6.55297998,14.13845659,8.012722712,5.849542106,6.85865223,3.979783365,1.797943802,2.847126381,2.571110303,3.255720813,2.852140716,1.218859298,1.233897459,66.236,92.1381,182.2285,179.6808,198.0946
14/9/2021,6.570686868,14.01934682,8.032809252,5.91223184,6.971671708,3.948683715,1.815883393,2.832928597,2.57708309,3.26800631,2.849605351,1.22029565,1.232082147,66.0916,92.2849,182.428,178.9472,197.5443
13/9/2021,6.559632798,14.09696775,8.072080965,5.853154408,7.075566706,3.943673647,1.819840354,2.833636566,2.566120116,3.265594251,2.849579448,1.219647347,1.232565166,65.87,92.1984,183.2745,179.8181,197.5386
10/9/2021,6.542658843,14.06489384,8.027302327,5.836210065,7.088559065,3.94742014,1.787205204,2.839688963,2.562012626,3.261365867,2.850659983,1.220978833,1.233400013,65.9126,92.3183,183.474,178.7062,198
9/9/2021,6.509633407,14.173807,8.021626528,5.76162266,6.984480778,3.948016468,1.804480082,2.832659716,2.571438404,3.267860459,2.850670217,1.221083608,1.233020402,66.0514,92.3384,183.6487,180.0304,197.9744
8/9/2021,6.633785563,14.23826153,8.101585789,5.802550056,6.999527302,3.945035399,1.774459551,2.822351768,2.563295074,3.266395621,2.849251202,1.219877022,1.232779053,65.7046,91.7654,183.475,176.1526,197.6632
7/9/2021,6.647827303,14.25663729,8.163082397,5.757231357,7.067283974,3.945902268,1.844639787,2.834568392,2.554347614,3.268438606,2.850602458,1.221136403,1.231931805,65.741,91.8922,183.9734,181.2325,198.1532
6/9/2021,6.643115956,14.30484471,8.206275988,5.695367308,6.996928303,3.950030813,1.845097478,2.831144994,2.561935806,3.281204095,2.849479292,1.221291983,1.233602956,65.9571,92.1723,185.044,181.1886,198.9616
3/9/2021,6.61969395,14.30490974,8.150541377,5.623428085,6.883283752,3.93826818,1.830900303,2.839783286,2.561860116,3.274608093,2.851943949,1.222347792,1.234675457,66.0901,92.4523,185.4676,180.3465,199.172
2/9/2021,6.585778047,14.30942214,8.179733456,5.5344422,6.864581158,3.918518907,1.827332388,2.846107577,2.568454899,3.285591107,2.853337094,1.222098216,1.233690975,65.8684,92.1727,184.2005,180.5928,199.0137
1/9/2021,6.580079689,14.2667987,8.150094662,5.526649483,6.877647455,3.882809307,1.870353594,2.835495009,2.566363498,3.281109227,2.853588505,1.223018416,1.23247724,65.851,91.8529,183.5552,180.4877,198.9329
31/8/2021,6.581119414,14.26147147,8.115759354,5.470560048,6.714129306,3.896122734,1.861171739,2.857923878,2.56628826,3.274859427,2.854963811,1.221904287,1.230548002,65.8936,91.6398,181.9394,181.6147,199.1275
30/8/2021,6.554188462,14.27915794,8.148049874,5.441060131,6.747963619,3.850940698,1.876647311,2.854474102,2.57083476,3.287042086,2.856321208,1.221267985,1.230541612,65.936,91.6599,181.5181,180.4451,198.3843
27/8/2021,6.536710184,14.2171102,8.148068881,5.380198952,6.812141321,3.800203416,1.891789589,2.846341144,2.564158276,3.287027368,2.854628519,1.222343167,1.229175709,65.9968,91.8134,182.0425,179.7553,197.2342
26/8/2021,6.538775579,14.09259807,8.12183561,5.398515849,6.769977149,3.785275389,1.861603006,2.850627966,2.556488243,3.27998662,2.856011254,1.221052731,1.228086168,65.7935,91.3137,180.352,177.8882,195.7866
25/8/2021,6.569607854,14.17468816,8.143981364,5.399343119,6.940261775,3.785333781,1.894872588,2.857340243,2.556391311,3.281913129,2.855982759,1.221073472,1.228684233,65.8478,91.5468,180.875,179.3108,195.708
24/8/2021,6.540082363,14.14316456,8.116278741,5.395235128,6.916092836,3.783660175,1.885788189,2.859392186,2.568293041,3.302011288,2.855946597,1.220473652,1.228093736,66.0527,91.4406,180.5523,178.13,195.8174
23/8/2021,6.528354627,14.12205069,8.097209385,5.342035388,6.827309045,3.755064057,1.843243892,2.871833726,2.576322583,3.302406539,2.857331042,1.219516612,1.228450316,66.0172,91.4405,179.4328,173.6938,195.7352
20/8/2021,6.5006828,14.00151904,8.073175158,5.245880393,6.763720196,3.74505568,1.852794545,2.879593507,2.575065703,3.30660795,2.859011757,1.220483333,1.22844908,65.9939,90.814,177.716,173.6638,195.2249
19/8/2021,6.503053378,13.887822,8.040118379,5.291897501,6.957963859,3.772559953,1.839265181,2.871378404,2.578623423,3.301281876,2.857598852,1.220638528,1.229632588,66.0125,90.9873,178.264,172.5125,195.5895
18/8/2021,6.533983383,13.86955978,8.146356236,5.366456413,7.083473684,3.773125541,1.831471011,2.859831616,2.571172695,3.293167133,2.857571221,1.220172103,1.229630535,65.893,91.6203,180.0563,173.2913,195.5629
17/8/2021,6.541643787,14.01764406,8.159772706,5.343158718,6.97545204,3.78413427,1.851690014,2.859514738,2.574559641,3.294761315,2.858937446,1.220059717,1.227820292,66.1523,91.4737,180.2559,176.3824,195.2635
16/8/2021,6.585173025,14.11650633,8.128963803,5.369203154,7.147546309,3.772673026,1.872159013,2.858102335,2.574852858,3.290429046,2.858631372,1.219713689,1.226007892,66.3406,92.2668,182.5459,177.4565,195.5104
13/8/2021,6.625518894,14.07926549,8.202533633,5.456777336,7.148968478,3.765520273,1.90421795,2.841379554,2.56546525,3.292949959,2.85469258,1.221053285,1.226006307,66.0813,92.4067,183.5172,177.854,195.4839
12/8/2021,6.586747796,14.05618847,8.17359967,5.448821734,7.145883924,3.728641024,1.896894094,2.847512011,2.548893503,3.28251581,2.854413318,1.220771015,1.225049436,65.645,92.0738,182.7225,177.6227,195.4344
11/8/2021,6.575006186,14.01120562,8.173569514,5.450265393,7.236127586,3.71007473,1.9186014,2.838912344,2.551508241,3.292322223,2.851581326,1.219942715,1.224682968,65.6338,92.4872,183.7184,178.6302,194.919
10/8/2021,6.556146316,13.97621794,8.106682756,5.400582963,7.283186504,3.710184558,1.921311502,2.844022069,2.550632507,3.287816848,2.854350431,1.221051721,1.225195915,65.5278,92.181,182.8232,179.7152,194.9225
9/8/2021,6.535202565,13.9624255,8.074164776,5.381191851,7.127421065,3.705773244,1.934573024,2.844979367,2.556344184,3.289035937,2.857407309,1.221189866,1.225797599,65.7245,92.2809,182.5496,178.1603,195.3261
6/8/2021,6.535195954,13.97457574,8.063598773,5.381160544,7.008753755,3.701525615,1.93170597,2.84904934,2.562824286,3.27887684,2.857381974,1.223784432,1.22338496,65.7251,92.4009,182.9732,178.2215,195.6022
5/8/2021,6.511503245,13.94962494,8.060765536,5.380125526,7.03255899,3.714941796,1.913593575,2.855733721,2.579156456,3.306410813,2.858802999,1.223764898,1.22626787,66.0432,92.8343,184.3429,177.577,195.5164
4/8/2021,6.504587777,13.86544583,8.055501189,5.359036414,7.083824563,3.706824499,1.916647179,2.85961,2.586801165,3.309124317,2.860197488,1.223038386,1.226383655,66.1765,92.6143,183.6468,180.3027,195.4604
3/8/2021,6.479696722,13.92989322,8.035006951,5.386086326,7.091662784,3.678176265,1.94499453,2.854090929,2.589026439,3.307430353,2.858743034,1.223587006,1.225165215,66.4562,92.7409,183.971,179.2778,195.1814
2/8/2021,6.494397448,13.81660658,8.007884002,5.410902956,7.049357735,3.622715559,1.928701626,2.850860153,2.589315501,3.307583988,2.857043831,1.223900046,1.225279409,66.3412,92.5943,183.2749,180.041,194.9918
30/7/2021,6.408714694,13.84212808,7.952016771,5.302180063,6.837653843,3.595214552,1.917842892,2.846585126,2.573736665,3.296362047,2.857017102,1.222378777,1.225525714,66.0155,92.621,182.7778,178.706,194.7761
29/7/2021,6.430174082,13.91634975,8.004182194,5.37563571,6.993884452,3.599314545,1.979258427,2.855362882,2.566451487,3.294790993,2.856736831,1.220387871,1.225591795,66.1729,93.061,184.0729,183.2702,195.101
28/7/2021,6.397132638,13.85651292,7.931519305,5.353549724,6.934827109,3.583417237,1.989263877,2.856374069,2.567901895,3.293483214,2.858094252,1.221400451,1.22632619,65.8609,92.5279,182.8552,181.9566,194.8322
27/7/2021,6.442268357,13.85905001,7.908302252,5.404799782,6.859097811,3.591317971,1.963306842,2.845070949,2.574389716,3.299197066,2.8566639,1.222201744,1.227187803,66.1138,92.528,183.2295,180.0174,194.5768
26/7/2021,6.410101888,13.92468737,7.941492761,5.370127328,7.142972898,3.60934696,1.985640197,2.8491414,2.564612547,3.293628316,2.85802128,1.223864294,1.227561015,65.701,92.1484,183.703,179.7867,194.6683
23/7/2021,6.410170484,13.89150456,7.943938204,5.310942098,7.481006975,3.617124324,1.971039846,2.846161044,2.562584133,3.289604918,2.859099894,1.220894806,1.22732367,65.5651,91.6888,183.4053,178.9397,194.6644
22/7/2021,6.403276395,13.75146624,7.876942768,5.310905332,7.580663658,3.609471167,1.98866797,2.843484814,2.566527991,3.294849502,2.85907139,1.219996562,1.227210579,65.8158,91.7355,183.4807,178.8476,194.4873
21/7/2021,6.335922511,13.72281144,7.909389781,5.310867912,7.57561936,3.565934662,1.985604797,2.849178346,2.562948443,3.282967581,2.859042535,1.220454383,1.229531034,65.7091,91.2824,182.934,179.2843,194.0723
20/7/2021,6.286946259,13.61070554,7.777004613,5.26755225,7.578723002,3.566585992,1.977640663,2.846773933,2.5798831,3.295863234,2.857952271,1.219373179,1.229564515,65.9548,90.8295,182.4121,178.1027,194.0441
19/7/2021,6.316200864,13.40709176,7.735497117,5.318381582,7.610085255,3.594691196,1.962124006,2.833357261,2.586368543,3.296205776,2.856538887,1.218375474,1.228630576,66.263,91.0961,182.4377,177.0505,193.3421
16/7/2021,6.37006517,13.62312941,7.920524418,5.388214113,7.575265206,3.634295539,1.987196562,2.82051846,2.558789973,3.276303062,2.856545857,1.218670329,1.227306272,65.8365,91.8161,184.5549,181.7427,194.1315
15/7/2021,6.359478475,13.7266866,7.924982606,5.408870647,7.689061504,3.635140598,2.011354885,2.818338005,2.558861831,3.26509704,2.857903479,1.216704853,1.22647636,65.8731,92.1359,184.7792,181.8275,194.1415
